company,ticker,name,title,year_joined,origin_country,origin_region,immigrant,role_category,total_compensation_usd,comp_fiscal_year,documented_adversity,potential_index,mental_strength,adversity_origin_score,data_tier
Alphabet (Google),GOOG,Aja Huang,Senior Staff Research Scientist Google DeepMind,2012.0,Taiwan,East Asia,Yes,Tech Leader,,,none documented,76,74,60,extended
Alphabet (Google),GOOG,Julian Schrittwieser,Former Staff Software Engineer Google DeepMind,2013.0,Austria,Europe,Yes,Tech Leader,,,none documented,76,74,60,extended
Alphabet (Google),GOOG,Ian Goodfellow,Research scientist Google DeepMind,2019.0,USA,North America,No,Tech Leader,,,none documented,76,74,45,extended
Alphabet (Google),GOOG,Vint Cerf,VP and Chief Internet Evangelist,2005.0,USA,North America,No,C-suite,,,Has a hearing impairment and is a longtime disability-access advocate,76,80,78,extended
Alphabet (Google),GOOG,Urs Holzle,Google Fellow,1999.0,Switzerland,Europe,Yes,Tech Leader,,,none documented,76,74,60,extended
Alphabet (Google),GOOG,Amin Vahdat,SVP and Chief Technologist AI and Infrastructure; Fellow,2010.0,Iran,Middle East,Yes,CTO,,,none documented,80,76,60,extended
Alphabet (Google),GOOG,Norman Jouppi,VP and Engineering Fellow,2013.0,USA,North America,No,Tech Leader,,,none documented,76,74,45,extended
Alphabet (Google),GOOG,Marian Croak,VP Engineering and Responsible AI,2014.0,USA,North America,No,C-suite,,,One of few Black women honored in the National Inventors Hall of Fame,76,80,78,extended
Alphabet (Google),GOOG,Blaise Aguera y Arcas,VP and Fellow; CTO of Technology and Society,2014.0,USA,North America,No,CTO,,,none documented,80,76,45,extended
Alphabet (Google),GOOG,Krishna Bharat,Distinguished Scientist (returned 2019),1999.0,India,South Asia,Yes,Tech Leader,,,none documented,76,74,60,extended
Alphabet (Google),GOOG,Ben Gomes,VP Learning and Sustainability,1999.0,India (born Tanzania),Other,Yes,C-suite,,,Born to an Indian family in Tanzania; immigrant background,76,80,78,extended
Alphabet (Google),GOOG,Amit Singhal,Former SVP and Google Fellow,2000.0,India,South Asia,Yes,Tech Leader,,,Grew up in Uttar Pradesh India; immigrant to the US,76,80,78,extended
Alphabet (Google),GOOG,Geoffrey Hinton,Former VP and Engineering Fellow Google Brain,2013.0,UK,Europe,Yes,Tech Leader,,,none documented,76,74,60,extended
Alphabet (Google),GOOG,Samy Bengio,Former research scientist and Google Brain manager,2007.0,France/Switzerland,Other,Yes,Tech Leader,,,none documented,76,74,60,extended
Alphabet (Google),GOOG,Greg Corrado,Distinguished Scientist,2011.0,USA,North America,No,Tech Leader,,,none documented,76,74,45,extended
Alphabet (Google),GOOG,Rajat Monga,Former engineering director,2009.0,India,South Asia,Yes,C-suite,,,none documented,76,74,60,extended
Alphabet (Google),GOOG,Anelia Angelova,Principal Scientist Google DeepMind,,Bulgaria,Europe,Yes,Tech Leader,,,none documented,76,74,60,extended
Alphabet (Google),GOOG,Mohammad Norouzi,Former Senior Staff Research Scientist Google Brain,2016.0,Iran,Middle East,Yes,Tech Leader,,,none documented,76,74,60,extended
Alphabet (Google),GOOG,Barret Zoph,Former research scientist Google Brain,,USA,North America,No,Tech Leader,,,none documented,76,74,45,extended
Alphabet (Google),GOOG,Corinna Cortes,VP Google Research (New York),2003.0,Denmark,Europe,Yes,Tech Leader,,,none documented,76,74,60,extended
Alphabet (Google),GOOG,Mehryar Mohri,Head of Learning Theory team Google Research,,Iran (raised France),Other,Yes,Tech Leader,,,none documented,76,74,60,extended
Alphabet (Google),GOOG,Yossi Matias,VP Engineering and Research; Head of Search and AI,,Israel,Middle East,Yes,Tech Leader,,,none documented,76,74,60,extended
Alphabet (Google),GOOG,Jay Yagnik,VP and Engineering Fellow Google AI,,India,South Asia,Yes,Tech Leader,,,none documented,76,74,60,extended
Alphabet (Google),GOOG,Maggie Johnson,VP Education and University Programs,2006.0,USA,North America,No,C-suite,,,none documented,76,74,45,extended
Alphabet (Google),GOOG,Hartmut Neven,VP and Founder Google Quantum AI,2006.0,Germany,Europe,Yes,C-suite,,,none documented,76,74,60,extended
Alphabet (Google),GOOG,Sebastian Thrun,Former VP and Fellow; founder of Google X,2007.0,Germany,Europe,Yes,Tech Leader,,,none documented,76,74,60,extended
Alphabet (Google),GOOG,Andrew Ng,Former lead Google Brain,2011.0,UK (raised Hong Kong/Singapore),Other,Yes,Tech Leader,,,none documented,76,74,60,extended
Alphabet (Google),GOOG,Hiroshi Lockheimer,Former SVP Platforms and Ecosystems (Android Chrome),2006.0,USA (raised Japan),Other,Yes,C-suite,,,none documented,76,74,60,extended
Alphabet (Google),GOOG,Jen Fitzpatrick,SVP Core,1999.0,USA,North America,No,C-suite,,,none documented,76,74,45,extended
Alphabet (Google),GOOG,Mike Schuster,Former research scientist Google Brain,,Germany,Europe,Yes,Tech Leader,,,none documented,76,74,60,extended
Alphabet (Google),GOOG,Yonghui Wu,Distinguished Scientist,,China,East Asia,Yes,Tech Leader,,,none documented,76,74,60,extended
Alphabet (Google),GOOG,Jacob Devlin,Former research scientist Google AI,,USA,North America,No,Tech Leader,,,none documented,76,74,45,extended
Alphabet (Google),GOOG,Ming-Wei Chang,Research scientist Google DeepMind,,Taiwan,East Asia,Yes,Tech Leader,,,none documented,76,74,60,extended
Alphabet (Google),GOOG,Kristina Toutanova,Research scientist Google DeepMind,,Bulgaria,Europe,Yes,Tech Leader,,,none documented,76,74,60,extended
Alphabet (Google),GOOG,Anna Patterson,Former VP of Engineering AI,2004.0,USA,North America,No,C-suite,,,none documented,76,74,45,extended
Alphabet (Google),GOOG,Nando de Freitas,Former research director Google DeepMind,2014.0,Zimbabwe,Other,Yes,Tech Leader,,,Born in Zimbabwe; of Portuguese descent,76,80,78,extended
Alphabet (Google),GOOG,Timnit Gebru,Former co-lead Ethical AI team,2018.0,Eritrea/Ethiopia,Other,Yes,Tech Leader,,,Fled Ethiopia at 15 during the Eritrean-Ethiopian war; received US political asylum,76,80,78,extended
Alphabet (Google),GOOG,Margaret Mitchell,Former founder and co-lead Ethical AI team,2016.0,USA,North America,No,Tech Leader,,,none documented,76,74,45,extended
Alphabet (Google),GOOG,Fei-Fei Li,Former VP and Chief Scientist AI/ML Google Cloud,2017.0,China,East Asia,Yes,Chief Scientist,,,Immigrated to the US at 15 with little English; ran the family dry-cleaning business,82,82,78,extended
Alphabet (Google),GOOG,Kathryn S. McKinley,Distinguished Engineer,,USA,North America,No,Tech Leader,,,none documented,76,74,45,extended
