name,title,year_joined,origin_country,education,prior_company,notable,documented_adversity
Devi Parikh,Senior Director GenAI (former),2016,India,Rowan University; Carnegie Mellon (PhD),Virginia Tech; Georgia Tech,Computer vision researcher; left 2024 to co-found Yutori,Immigrant from India to US
Soumith Chintala,Distinguished Engineer / PyTorch lead (former),2014,India,VIT University; NYU,,Co-creator and lead of PyTorch; left Meta Nov 2025,Rejected by 12 US universities; from a tier-2 Indian college
Hugo Touvron,Research Scientist,,France,,,First author of the original LLaMA paper,none documented
Xavier Martinet,Research Engineer,,France,,,Co-author of original LLaMA paper; remained at Meta,none documented
Faisal Azhar,Technical Program Lead,,,,,Co-author of original LLaMA paper; remained at Meta,none documented
Aaron Grattafiori,Research Scientist,,USA,,,Lead author of The Llama 3 Herd of Models paper,none documented
Laurens van der Maaten,Distinguished Research Scientist (former),,Netherlands,Delft University of Technology,,Inventor of t-SNE; Llama 3 technical co-lead; left for Anthropic,none documented
Nikhila Ravi,Director MSL,,,University of Cambridge,,Co-leads Segment Anything (SAM/SAM 2) team,none documented
Piotr Dollar,Research Scientist Lead,,,Caltech (PhD),,Directional lead on Segment Anything; computer vision researcher,none documented
Ross Girshick,Research Scientist (former),,USA,University of Chicago (PhD),,Creator of R-CNN; directional lead on Segment Anything,none documented
Alexander Kirillov,Research Scientist (former),,,,,Project lead on Segment Anything paper,none documented
Vishrav Chaudhary,Research Scientist,,,,Microsoft,Meta AI research scientist on language models,none documented
Rohit Patel,Director MSL,,,Northwestern (Kellogg),PwC Strategy&,Director in Meta Superintelligence Labs; worked on Llama 3,none documented
Andrew Tulloch,AI Researcher (MSL),2025,Australia,University of Sydney; Cambridge,Thinking Machines Lab; OpenAI,Co-founder of Thinking Machines Lab; rejoined Meta 2025,none documented
Shengjia Zhao,Research Scientist (MSL),2025,China,Tsinghua University; Stanford (PhD),OpenAI,Contributed to ChatGPT GPT-4o and o1,none documented
Jack Rae,Principal Research Scientist (MSL),2025,United Kingdom,University College London,Google DeepMind,Worked on Gemini 2.5,none documented
Jason Wei,Research Scientist (MSL former),2025,USA,Dartmouth,OpenAI; Google Brain,Known for chain-of-thought prompting research; helped build o1/o3,none documented
Hyung Won Chung,Research Scientist (MSL),2025,South Korea,MIT (PhD),OpenAI,Worked on o1 and o3 reasoning models,none documented
Shuchao Bi,Research Scientist (MSL),2025,China,,OpenAI; Google,Co-creator of GPT-4o mini and GPT-4o voice mode,none documented
Joel Pobar,Engineer (MSL),2025,Australia,,Anthropic,Worked on AI inference; earlier long Facebook tenure,none documented
Ruoming Pang,AI Infrastructure Lead MSL (former),2025,China,Shanghai Jiao Tong University; USC (PhD),Apple; Google,Former head of Apple foundation models; left Meta for OpenAI 2026,Immigrant from China to US
Trapit Bansal,Research Scientist (MSL),2025,India,IIT Kanpur; UMass Amherst (PhD),OpenAI,Reasoning-model researcher; high-profile Meta hire,none documented
Pei Sun,Research Scientist (MSL),2025,China,,Google DeepMind,Former DeepMind researcher hired into MSL,none documented
Jiahui Yu,Research Scientist (MSL),2025,China,USTC; University of Illinois (PhD),OpenAI; Google,Multimodal and perception researcher,none documented
Hongyu Ren,Research Scientist (MSL),2025,China,Peking University; Stanford (PhD),OpenAI,OpenAI alum hired into MSL,none documented
Adam Paszke,PyTorch creator (former),,Poland,University of Warsaw,,Created PyTorch as an intern project; core author,none documented
Sam Gross,Research Engineer (former),,USA,,,Core original PyTorch author at FAIR,none documented
Gregory Chanan,Engineer PyTorch,,USA,,,Core PyTorch maintainer at Meta,none documented
Edward Yang,Research Engineer PyTorch,,USA,MIT,,Core PyTorch developer at Meta,none documented
Zachary DeVito,Research Scientist PyTorch,,USA,Stanford (PhD),,Core PyTorch architecture developer at Meta,none documented
Dustin Moskovitz,Co-founder (former),2004,USA,Harvard (dropped out),,Co-founded Facebook; later founded Asana,none documented
Andrew McCollum,Co-founder (former),2004,USA,Harvard,,Co-founded Facebook; CEO of Philo,none documented
Chris Hughes,Co-founder (former),2004,USA,Harvard,,Co-founded Facebook; later co-chair of Economic Security Project,none documented
Will Cathcart,Head of WhatsApp,2010,USA,Stanford; Stanford MBA,,Leads WhatsApp,none documented
Adam Mosseri,Head of Instagram,2008,USA,NYU,,Leads Instagram,none documented
Javier Olivan,Chief Operating Officer,2007,Spain,University of Navarra; Stanford MBA,Siemens; NTT,Spanish-born; led Meta growth team before becoming COO,Immigrant from Spain to US
Susan Li,Chief Financial Officer,2008,USA,Stanford,Morgan Stanley,Rose internally to CFO,none documented
Chris Cox,Chief Product Officer,2005,USA,Stanford (dropped out),,One of Meta's longest-tenured product leaders,none documented
Andrew Bosworth,Chief Technology Officer,2006,USA,Harvard,Microsoft,Head of Reality Labs; built early News Feed,none documented
